Section,h[mm],b[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Iz[cm4],Ip[cm4],iy[mm],iz[mm],ip[mm],max Sy[cm3],max Sz[cm3],Wy[cm3],Wz[cm3],Ay[cm2],Az[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,z[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","αpl,z","Apl,y[cm2]","Apl,z[cm2]",Npl[kN],"Vpl,y[kN]","Vpl,z[kN]","Mpl,y[kNm]","Mpl,z[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
RHS 50x30x2.9,50,30,2.9,4.3,2.9,38.4,4.21,13.2,5.8,19,17.7,11.7,21.2,1.67,1.16,5.29,3.87,1.15,2.5,13.2,0.12,13.08,0.84,6.38,0.87,1.07,2.4,1.23,0.24,6.69,4.63,2.14,1.3,1.265,1.197,1.57,2.73,99.001,21.326,37.064,1.57,1.09,99.001,3.3,0.153,421,363.42,12.69
RHS 50x30x3.0,50,30,3,4.5,3,38,4.34,13.6,5.94,19.54,17.7,11.7,21.2,1.72,1.19,5.43,3.96,1.19,2.61,13.5,0.13,13.37,0.87,6.53,0.87,1.1,2.4,1.27,0.25,6.88,4.76,2.17,1.35,1.267,1.201,1.62,2.82,102.057,21.98,38.261,1.62,1.12,102.057,3.4,0.152,434,350.23,12.61
RHS 50x30x3.2,50,30,3.2,4.8,3.2,37.2,4.6,14.2,6.2,20.4,17.6,11.6,21.1,1.81,1.25,5.68,4.13,1.26,2.75,14.2,0.15,14.05,0.93,6.82,0.86,1.15,2.4,1.34,0.26,7.24,5,2.21,1.44,1.275,1.211,1.72,3,108.097,23.271,40.638,1.7,1.18,108.097,3.6,0.152,460,330.435,12.45
RHS 50x30x3.6,50,30,3.6,5.4,3.6,35.6,5.1,15.4,6.67,22.07,17.4,11.4,20.8,1.98,1.36,6.16,4.45,1.4,3.08,15.4,0.22,15.18,1.03,7.35,0.84,1.24,2.4,1.47,0.28,7.94,5.46,2.28,1.62,1.289,1.227,1.9,3.34,119.89,25.79,45.327,1.87,1.28,119.89,4,0.151,510,296.078,12.14
RHS 50x30x4.0,50,30,4,6,4,34,5.59,16.5,7.08,23.58,17.2,11.3,20.6,2.14,1.47,6.6,4.72,1.53,3.4,16.6,0.29,16.31,1.13,7.81,0.83,1.31,2.4,1.59,0.31,8.59,5.88,2.31,1.8,1.302,1.246,2.08,3.68,131.302,28.221,49.929,2.02,1.38,131.302,4.4,0.15,559,268.336,11.82
RHS 50x30x5.0,50,30,5,7.5,5,30,6.73,18.7,7.89,26.59,16.7,10.8,19.9,2.5,1.7,7.49,5.26,1.86,4.16,19,0.55,18.45,1.36,8.75,0.78,1.45,2.3,1.86,0.35,10.02,6.79,2.25,2.25,1.338,1.292,2.5,4.5,158.159,33.919,61.055,2.36,1.6,158.159,5.3,0.147,673,218.425,11.04
RHS 50x30x5.6,50,30,5.6,9,5.6,27.6,7.37,19.7,8.23,27.93,16.4,10.6,19.5,2.63,1.78,7.89,5.48,2.12,4.8,20.1,0.74,19.36,1.45,9.12,0.73,1.45,2.3,1.98,0.36,10.56,7.13,2.13,2.52,1.338,1.302,2.73,4.97,171.009,37.078,67.47,2.48,1.68,171.009,5.8,0.146,737,198.1,10.5
RHS 50x30x6.3,50,30,6.3,9.4,6.3,24.8,8.07,20.6,8.5,29.1,16,10.3,19,2.87,1.92,8.26,5.66,2.26,5.09,21.1,1.03,20.07,1.58,9.54,0.71,1.51,2.3,2.12,0.39,11.49,7.68,1.94,2.83,1.391,1.356,2.99,5.51,189.504,40.516,74.707,2.7,1.8,189.504,6.3,0.144,807,178.439,10.02
RHS 60x40x2.9,60,40,2.9,4.3,2.9,48.4,5.37,25.8,13.5,39.3,21.9,15.9,27.1,2.65,1.99,8.59,6.77,1.62,3.02,28.4,0.15,28.25,1.12,10.93,1.16,2.34,2.4,2.02,0.39,10.6,7.96,3.4,2.32,1.234,1.176,2.15,3.31,126.261,29.195,44.934,2.49,1.87,126.261,4.2,0.193,537,359.404,21.11
RHS 60x40x3.0,60,40,3,4.5,3,48,5.54,26.5,13.9,40.4,21.8,15.8,26.9,2.73,2.05,8.82,6.95,1.68,3.12,29.2,0.16,29.04,1.16,11.22,1.16,2.4,2.4,2.08,0.41,10.91,8.19,3.46,2.4,1.237,1.178,2.22,3.42,130.257,30.12,46.402,2.56,1.92,130.257,4.3,0.192,554,346.57,21.01
