Section,h[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Ip[cm4],iy[mm],ip[mm],max Sy[cm3],Wy[cm3],Ay[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","Apl,y[cm2]",Npl[kN],"Vpl,y[kN]","Mpl,y[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
SHS 40x40x2.9,40,2.9,4.3,2.9,28.4,4.21,9.54,19.08,15,21.2,1.45,4.77,1.83,15.3,0.12,15.18,0.04,6.95,0.09,0.01,0.2,0.13,0.01,5.81,1.17,2.32,1.218,2.15,99.001,29.195,1.36,99.001,3.3,0.153,421,363.42,13.69
SHS 40x40x3.0,40,3,4.5,3,28,4.34,9.78,19.56,15,21.2,1.49,4.89,1.9,15.7,0.13,15.57,0.05,7.11,0.09,0.01,0.2,0.13,0.02,5.97,1.18,2.4,1.221,2.22,102.057,30.12,1.4,102.057,3.4,0.152,434,350.23,13.61
SHS 40x40x3.2,40,3.2,4.8,3.2,27.2,4.6,10.2,20.4,14.9,21.1,1.57,5.11,2,16.5,0.15,16.35,0.05,7.44,0.09,0.01,0.3,0.15,0.02,6.28,1.18,2.56,1.229,2.36,108.097,31.955,1.48,108.097,3.6,0.152,460,330.435,13.45
SHS 40x40x3.6,40,3.6,5.4,3.6,25.6,5.1,11.1,22.2,14.7,20.8,1.72,5.54,2.26,18.1,0.22,17.88,0.07,8.04,0.09,0.02,0.3,0.17,0.02,6.88,1.18,2.88,1.242,2.62,119.89,35.558,1.62,119.89,4,0.151,510,296.078,13.14
SHS 40x40x4.0,40,4,6,4,24,5.59,11.8,23.6,14.5,20.5,1.86,5.91,2.46,19.5,0.29,19.21,0.08,8.58,0.1,0.02,0.3,0.2,0.02,7.44,1.15,3.2,1.258,2.88,131.302,39.075,1.75,131.302,4.4,0.15,559,268.336,12.82
SHS 40x40x5.0,40,5,7.5,5,20,6.73,13.4,26.8,14.1,19.9,2.16,6.68,3.05,22.5,0.55,21.95,0.11,9.69,0.1,0.03,0.3,0.25,0.03,8.66,1,4,1.296,3.5,158.159,47.487,2.04,158.159,5.3,0.147,673,218.425,12.04
SHS 40x40x5.6,40,5.6,8.4,5.6,17.6,7.37,14.1,28.2,13.8,19.5,2.32,7.03,3.37,24,0.75,23.25,0.13,10.2,0.1,0.03,0.3,0.28,0.03,9.28,0.87,4.48,1.32,3.85,173.127,52.274,2.18,173.127,5.8,0.146,737,198.1,11.56
SHS 40x40x6.3,40,6.3,9.4,6.3,14.8,8.07,14.7,29.4,13.5,19.1,2.47,7.34,3.73,25.4,1.03,24.37,0.14,10.67,0.1,0.03,0.3,0.3,0.03,9.9,0.69,5.04,1.349,4.25,189.504,57.611,2.33,189.504,6.3,0.144,807,178.439,11.02
SHS 50x50x2.9,50,2.9,4.3,2.9,38.4,5.37,19.7,39.4,19.1,27,2.36,7.87,2.33,31.2,0.15,31.05,0.06,11.5,0.12,0.03,0.3,0.22,0.03,9.43,2.14,3.63,1.198,2.73,126.261,37.064,2.21,126.261,4.2,0.193,537,359.404,22.11
SHS 50x50x3.0,50,3,4.5,3,38,5.54,20.2,40.4,19.1,27,2.43,8.08,2.4,32.1,0.16,31.94,0.07,11.8,0.12,0.03,0.3,0.23,0.03,9.7,2.17,3.75,1.201,2.82,130.257,38.261,2.28,130.257,4.3,0.192,554,346.57,22.01
